domain,url,bias_rating,factual_reporting_rating
the state,http://www.thestate.com/,-12,HIGH
the straits times,http://www.straitstimes.com/global,10,HIGH
the stranger,http://www.thestranger.com/,-17,HIGH
the strategy bridge,https://thestrategybridge.org,2,HIGH
the sun magazine,http://thesunmagazine.org/,-15,HIGH
the swedish wire,http://www.swedishwire.com/,-4,HIGH
the sydney morning herald,http://www.smh.com.au/,-13,HIGH
the tab,https://thetab.com/,-12,HIGH
the tennessean,http://www.tennessean.com/,11,HIGH
the tennessee star,http://tennesseestar.com/,27,HIGH
the texas observer,https://www.texasobserver.org,-20,HIGH
the times (illinois),http://www.mywebtimes.com,0,HIGH
the times and democrat,http://thetandd.com,-5,HIGH
the times herald (port huron),https://www.thetimesherald.com,9,HIGH
the times of london,http://www.thetimes.co.uk/,11,HIGH
the times-picayune,http://www.nola.com/#/0,-14,HIGH
the trace,https://www.thetrace.org,-11,HIGH
the truth about guns,http://www.thetruthaboutguns.com/,22,HIGH
the truthsetter,https://truthsetter.com,1,HIGH
the tyee,https://thetyee.ca/,-15,HIGH
the varsity,https://thevarsity.ca/,-9,HIGH
the verge,http://www.theverge.com/,-13,HIGH
the village voice,http://www.villagevoice.com/,-19,HIGH
the virginian-pilot,http://pilotonline.com/,-7,HIGH
the walrus,https://thewalrus.ca/,-22,HIGH
the waterloo-cedar falls courier,http://wcfcourier.com,-3,HIGH
the week,http://theweek.com/,-13,HIGH
the west australian,https://thewest.com.au/,12,HIGH
the whim,http://www.thewhim.com/,-2,HIGH
the wilderness society,http://wilderness.org/,-11,HIGH
the wire – india,https://thewire.in/,-8,HIGH
the world can’t wait,https://worldcantwait.net/,-24,HIGH
the young turks,https://tytnetwork.com/,-22,HIGH
the zero hour,http://www.thisisthezerohour.com/,-15,HIGH
thegrio,http://thegrio.com/,-21,HIGH
theimproper magazine,https://www.theimproper.com,-25,HIGH
thejournal.ie,http://www.thejournal.ie/,-4,HIGH
third way,http://www.thirdway.org/,-4,HIGH
this magazine,https://this.org/,-22,HIGH
thomson reuters foundation,http://news.trust.org/,-8,HIGH
thoughtco,https://www.thoughtco.com,-1,VERY HIGH
time magazine,http://time.com/,-17,HIGH
timeline,https://timeline.com,-7,HIGH
times news (pennsylvania),https://www.tnonline.com,7,HIGH
times of india,http://timesofindia.indiatimes.com/,-2,HIGH
times of israel,http://www.timesofisrael.com/,-10,HIGH
times of san diego,http://timesofsandiego.com/,-4,HIGH
times-colonist,http://www.timescolonist.com/,-13,HIGH
times-news (idaho),http://magicvalley.com/,-3,HIGH
to inform is to influence,https://toinformistoinfluence.com/,-12,HIGH
today i found out,http://www.todayifoundout.com/,-1,HIGH
toledo blade,http://www.toledoblade.com/,6,HIGH
tomdispatch.com,http://www.tomdispatch.com/,-13,HIGH
topeka capital-journal,http://www.cjonline.com/,7,HIGH
toronto star,https://www.thestar.com/,-17,HIGH
toronto sun,http://www.torontosun.com/,22,HIGH
transparency international,https://www.transparency.org/,-1,VERY HIGH
transpartisan review,http://www.transpartisanreview.com/,-3,HIGH
tribune magazine uk,http://www.tribunemagazine.org/,-22,HIGH
tribune news service,https://tribunecontentagency.com/tribune-news-service/,-3,HIGH
true viral news,http://trueviralnews.com/,1,HIGH
truth against the machine,https://truthagainstthemachine.com,-27,HIGH
truth be told,http://truthbetold.news/,-3,HIGH
truthdig,http://www.truthdig.com/,-23,HIGH
truthorfiction.com,https://www.truthorfiction.com/,-1,VERY HIGH
tulsa world,http://www.tulsaworld.com/,11,HIGH
turkey and facts (dogruluk payi),https://turkeyandfacts.com/,-1,VERY HIGH
tvw washington state,http://www.tvw.org/,-1,HIGH
undark,https://undark.org,-3,HIGH
unicorn riot,http://www.unicornriot.ninja/,-16,HIGH
united federation of teachers (uft),http://www.uft.org/,-13,HIGH
united press international (upi),http://www.upi.com/,3,HIGH
united states house of representatives (house.gov),https://www.house.gov/,-1,VERY HIGH
university business,https://www.universitybusiness.com/,-8,HIGH
uproxx,http://uproxx.com/,-19,HIGH
upworthy,https://www.upworthy.com/,-18,HIGH
urban institute,http://www.urban.org/,-14,HIGH
us government accountability office (gao),https://www.gao.gov,-1,HIGH
us news world report,http://www.usnews.com/,-8,HIGH
usa facts,http://www.usafacts.org/,-1,VERY HIGH
usa spending,https://www.usaspending.gov/,-1,VERY HIGH
usa today,http://www.usatoday.com/,-9,HIGH
utah public radio (upr),http://upr.org,-7,HIGH
utah standard-examiner,http://www.standard.net/,1,HIGH
valuewalk,http://www.valuewalk.com/,11,HIGH
vancouver sun,http://vancouversun.com/,-11,HIGH
vanity fair,http://www.vanityfair.com/,-21,HIGH
vera files,http://verafiles.org,-3,VERY HIGH
verified politics,http://verifiedpolitics.com,-26,HIGH
verrit,https://verrit.com,-22,HIGH
vocativ,http://www.vocativ.com/,-4,HIGH
voice of america,http://www.voanews.com/,-3,HIGH
voice of san diego,http://www.voiceofsandiego.org/,-5,HIGH
vos iz neias,https://www.vosizneias.com,-3,HIGH
vote smart,http://votesmart.org/,-1,HIGH
votevets.org,http://www.votevets.org/,-13,HIGH
vox,http://www.vox.com/,-23,HIGH
vulture,http://www.vulture.com,-14,HIGH
wall street journal,http://www.wsj.com/,11,HIGH
wall street on parade,http://wallstreetonparade.com/,-15,HIGH
war on the rocks,http://warontherocks.com/,-5,HIGH
washington babylon,http://washingtonbabylon.com,15,HIGH
washington blade,http://www.washingtonblade.com/,-15,HIGH
washington examiner,http://www.washingtonexaminer.com/,21,HIGH
washington journal (not c-span),http://washingtonjournal.com/,-27,HIGH
washington journal,https://www.c-span.org/WJ,-3,HIGH
washington monthly,http://washingtonmonthly.com/,-18,HIGH
washington post,https://www.washingtonpost.com/,-15,HIGH
washington times,http://www.washingtontimes.com/,17,HIGH
waterbury republican-american,http://www.rep-am.com/,12,HIGH
we are the mighty,http://www.wearethemighty.com/,3,HIGH
wear your voice,https://wearyourvoicemag.com,-22,HIGH
weekly standard,http://www.weeklystandard.com/,23,HIGH
westmonster,http://www.westmonster.com/,12,HIGH
wgn news,http://wgntv.com/,-8,HIGH
what matters news,http://whatmattersnews.com/,-26,HIGH
wichita eagle,http://www.kansas.com/,6,HIGH
wikinews,https://en.wikinews.org/wiki/Main_Page,-2,HIGH
wikipedia,https://www.wikipedia.org/,-1,HIGH
wikitribune,https://www.wikitribune.com,-2,HIGH
williamsport sun-gazette,http://www.sungazette.com/,10,HIGH
windsor star,http://windsorstar.com/,-11,HIGH
wings over scotland,https://wingsoverscotland.com,-16,HIGH
winona daily news,http://www.winonadailynews.com,-3,HIGH
winston-salem journal,http://www.journalnow.com/,10,HIGH
wired magazine,https://www.wired.com/,-13,HIGH
wisconsin state journal,http://host.madison.com/wsj/,-2,HIGH
wnyc,http://www.wnyc.org/,-11,HIGH
woodrow wilson international center for scholars,https://www.wilsoncenter.org/,-3,VERY HIGH
world affairs journal,http://www.worldaffairsjournal.org/,-8,HIGH
world economic forum,https://www.weforum.org/,-4,HIGH
world news,http://wn.com/,1,HIGH
world policy institute,http://www.worldpolicy.org/,-14,HIGH
world politics review,http://www.worldpoliticsreview.com/,5,HIGH
world press review,http://worldpress.org/,-2,VERY HIGH
world resources institute (wri),http://www.wri.org/,-3,VERY HIGH
world socialist web site,http://www.wsws.org/,-24,HIGH
world tribune,http://worldtribune.com/,22,HIGH
worldcrunch,https://www.worldcrunch.com/,-11,HIGH
wral,http://www.wral.com/,-3,HIGH
yellowhammer news,http://yellowhammernews.com/,20,HIGH
yes magazine,http://www.yesmagazine.org/,-22,HIGH
ynetnews,http://www.ynetnews.com/,-14,HIGH
york daily record,http://www.ydr.com/,-7,HIGH
young america’s foundation (yaf),https://www.yaf.org,23,HIGH
youth radio,https://youthradio.org/,-10,HIGH
z magazine,https://zcomm.org/zmag/,-22,HIGH
zdf (zweites deutsches fernsehen),https://www.zdf.de/,-5,HIGH
