domain,url,bias_rating,factual_reporting_rating
gallup,http://www.gallup.com/home.aspx,-2,VERY HIGH
gay star news,https://www.gaystarnews.com/,-15,HIGH
gbtimes,https://gbtimes.com,-2,HIGH
gears of biz,http://gearsofbiz.com/,-4,HIGH
geopolitics alert,http://geopoliticsalert.com,-13,HIGH
gizmodo,http://gizmodo.com/,-20,HIGH
glamour magazine,http://www.glamour.com/,-14,HIGH
global citizen,https://www.globalcitizen.org/en/,-11,HIGH
global integrity,http://www.globalintegrity.org/,1,HIGH
global news,http://globalnews.ca/,-8,HIGH
global post,http://www.pri.org/programs/globalpost,-10,HIGH
global risk insights (gri),http://globalriskinsights.com,-7,HIGH
global slavery index,https://www.globalslaveryindex.org,-1,VERY HIGH
global times (china),http://www.globaltimes.cn/,-10,HIGH
global voices,https://globalvoices.org/,-18,HIGH
globe gazette (iowa),http://globegazette.com,-3,HIGH
good magazine,https://www.good.is/,-21,HIGH
goodnewsnetwork,http://www.goodnewsnetwork.org/,1,HIGH
governing magazine,http://www.governing.com/,-8,HIGH
government executive,http://www.govexec.com/,-4,HIGH
govtrack,https://www.govtrack.us/,0,VERY HIGH
gq magazine,http://www.gq.com/,-19,HIGH
grand rapids press,http://www.mlive.com/grand-rapids/#/0,13,HIGH
grasping reality with both hands: bradford delong,http://www.bradford-delong.com/,-21,HIGH
greensboro news and record,http://www.greensboro.com/,-12,HIGH
greentech media,https://www.greentechmedia.com/,-12,HIGH
greenville gazette,http://www.greenvillegazette.com/,-26,HIGH
grist,http://grist.org/,-14,HIGH
group of thirty,http://group30.org/,7,HIGH
guardian liberty voice,http://guardianlv.com/,-24,HIGH
guardians of democracy,https://theguardiansofdemocracy.com/,-24,HIGH
gulf news,http://gulfnews.com/,10,HIGH
guns.com,http://www.guns.com,10,HIGH
haaretz,http://www.haaretz.com/,-16,HIGH
harper’s magazine,http://harpers.org/,-8,HIGH
harvard business review,https://hbr.org,-3,HIGH
harvard gazette,http://news.harvard.edu/gazette/,-4,HIGH
harvard political review,http://harvardpolitics.com/,-4,HIGH
hastings tribune,http://www.hastingstribune.com,-2,HIGH
healthcare finance news,http://www.healthcarefinancenews.com/,-1,HIGH
healthyway,https://www.healthyway.com,-11,HIGH
heavy,http://heavy.com/,-13,HIGH
helsinki times,http://www.helsinkitimes.fi/,-15,HIGH
herald & review (illinois),https://herald-review.com,2,HIGH
herald-sun,http://www.heraldsun.com.au/,11,HIGH
heterodox academy,https://heterodoxacademy.org,8,HIGH
high country news,https://www.hcn.org,-13,HIGH
high point enterprise,http://www.hpenews.com/,10,HIGH
highline,http://highline.huffingtonpost.com,-12,HIGH
hindustan times,http://www.hindustantimes.com/,-8,HIGH
history news network,http://historynewsnetwork.org/,-12,HIGH
hoax slayer,http://www.hoax-slayer.com/,0,VERY HIGH
hollywood reporter,http://www.hollywoodreporter.com/,-15,HIGH
homeland security news wire,http://www.homelandsecuritynewswire.com,1,HIGH
honest reporting,http://honestreporting.com/,10,HIGH
honolulu star-advertiser,http://www.staradvertiser.com/,-11,HIGH
hot air,http://hotair.com/,26,HIGH
houston chronicle,https://www.houstonchronicle.com/,-14,HIGH
hudson institute,http://www.hudson.org/,22,HIGH
huffington post (huffpost),http://www.huffingtonpost.com/,-21,HIGH
human rights campaign (hrc),https://www.hrc.org,-24,HIGH
human rights watch,https://www.hrw.org/,-8,HIGH
humanium,https://www.humanium.org,-13,HIGH
i24 news,http://www.i24news.tv/,1,HIGH
ice news,http://www.icenews.is/,-13,HIGH
icitizen,https://icitizen.com,-3,HIGH
idaho statesman,http://www.idahostatesman.com,-3,HIGH
if americans knew,http://ifamericaknew.org/,-15,HIGH
ihs janes 360,http://www.janes.com/,1,HIGH
illinois policy institute,https://www.illinoispolicy.org/,20,HIGH
imediaethics,https://www.imediaethics.org,-4,HIGH
in defence of marxism,https://www.marxist.com/,-27,HIGH
in homeland security,https://inhomelandsecurity.com,9,HIGH
in these times,http://inthesetimes.com/,-22,HIGH
independent australia,https://independentaustralia.net/,-15,HIGH
independent journal review,https://ijr.com/,26,HIGH
independent record (montana),http://helenair.com,1,HIGH
independent sentinel,http://www.independentsentinel.com/,29,HIGH
independent voter network (ivn),https://ivn.us/,-4,HIGH
india today,http://indiatoday.intoday.in/,-4,HIGH
indianapolis star,http://www.indystar.com/,-10,HIGH
inequality media,https://www.inequalitymedia.org/,-19,HIGH
inews,https://inews.co.uk/,-13,HIGH
informed comment,https://www.juancole.com,-19,HIGH
inside higher ed,https://www.insidehighered.com/,-7,HIGH
inside philanthropy,https://www.insidephilanthropy.com,-13,HIGH
insideclimate news,https://insideclimatenews.org/,-7,HIGH
insidesources,http://www.insidesources.com,12,HIGH
institute for humane studies,https://theihs.org/,7,HIGH
institute for middle east understanding (imeu),https://imeu.org,-12,HIGH
institute for policy studies,http://www.ips-dc.org,-28,HIGH
institute for women’s policy research (iwpr),https://iwpr.org,-4,HIGH
institute on taxation and economic policy (itep),https://itep.org/,-11,HIGH
inter press service (ips),http://www.ips.org,-16,HIGH
international center for research on women,http://www.icrw.org/,-11,HIGH
international consortium of investigative journalists,https://www.icij.org/,-4,VERY HIGH
international crisis group,https://www.crisisgroup.org/,-10,HIGH
international energy agency (iea),https://www.iea.org/,-5,HIGH
international organization,http://journals.cambridge.org/action/displayIssue?jid=INO&tab=currentissue,1,VERY HIGH
international press institute,http://www.freemedia.at/,-1,VERY HIGH
international rescue committee (irc),https://www.rescue.org/,-3,HIGH
inverse,https://www.inverse.com,-12,HIGH
investigative reporters and editors,https://www.ire.org/,-1,VERY HIGH
investopedia,http://www.investopedia.com/,-1,HIGH
iowa starting line,https://iowastartingline.com,-22,HIGH
ipolitics,http://ipolitics.ca/,-9,HIGH
irin news,http://www.irinnews.org/,-10,HIGH
irish independent,http://www.independent.ie/,11,HIGH
israel hayom,http://www.israelhayom.com/site/today.php,13,HIGH
itv news,http://www.itv.com/news/,8,HIGH
jackson sun,https://www.jacksonsun.com,2,HIGH
jacobin,https://www.jacobinmag.com/,-22,HIGH
japan times,https://www.japantimes.co.jp/,1,HIGH
japan today,https://www.japantoday.com/,7,HIGH
jewish news syndicate (jns),https://www.jns.org,13,HIGH
jewish policy center,https://www.jewishpolicycenter.org/,20,HIGH
jewish telegraphic agency (jta),http://www.jta.org,1,HIGH
jihadica,http://www.jihadica.com/,-9,HIGH
joint center for political and economic studies,http://jointcenter.org/,-13,HIGH
journal gazette & times-courier,https://www.opensecrets.org/orgs/totals.php?id=D000052990&cycle=2014,-3,HIGH
journal of politics and society,http://www.helvidius.org/,-10,VERY HIGH
jstor daily,http://daily.jstor.org/,-1,VERY HIGH
just facts daily,http://www.justfactsdaily.com/,19,HIGH
just facts,http://www.justfacts.com/,12,HIGH
just security,https://www.justsecurity.org/,-3,HIGH
kaiser family foundation,http://kff.org/,-4,HIGH
kansas city star,http://www.kansascity.com/,-12,HIGH
keep and bear,https://keepandbear.com,28,HIGH
kmov,http://www.kmov.com/,-9,HIGH
knight foundation,http://www.knightfoundation.org/,-7,HIGH
know your meme,http://knowyourmeme.com/,-1,HIGH
knowhere,https://knowherenews.com,-1,HIGH
knoxville news sentinel,https://www.knoxnews.com,-12,HIGH
koco news 5,http://www.koco.com/,-7,HIGH
kotaku,https://kotaku.com,-13,HIGH
kuow npr,http://kuow.org/,-10,HIGH
kutv salt lake city,http://kutv.com/,10,HIGH
la presse,http://www.lapresse.ca/,-16,HIGH
la times (los angeles times),http://www.latimes.com/,-14,HIGH
las vegas review-journal,http://www.reviewjournal.com/,12,HIGH
latin times,http://www.latintimes.com/,-8,HIGH
lavender magazine,http://www.lavendermagazine.com/,-22,HIGH
law newz,http://lawnewz.com/,-11,HIGH
