domain,url,bias_rating,factual_reporting_rating,category
cato institute,http://www.cato.org/,17,HIGH,whitelist
cbc news (canadian broadcasting),http://www.cbc.ca/news,-12,HIGH,whitelist
cbs news,http://www.cbsnews.com/,-12,HIGH,whitelist
cctv america,http://www.cctv-america.com/,-10,HIGH,whitelist
center for a new american security,http://www.cnas.org/,-4,HIGH,whitelist
center for a stateless society,https://c4ss.org/,15,HIGH,whitelist
center for advanced defense studies,http://c4ads.org/,1,VERY HIGH,whitelist
center for american progress,https://www.americanprogress.org/,-23,HIGH,whitelist
center for democracy and technology,https://cdt.org,-2,HIGH,whitelist
center for global development,http://www.cgdev.org/,-4,VERY HIGH,whitelist
center for inquiry,http://www.centerforinquiry.net/,-1,VERY HIGH,whitelist
center for international policy,https://www.ciponline.org/,-11,VERY HIGH,whitelist
center for media and democracy (pr watch),http://www.prwatch.org/cmd,-21,HIGH,whitelist
center for popular democracy,http://populardemocracy.org/,-16,HIGH,whitelist
center for public integrity,https://www.publicintegrity.org/,-3,VERY HIGH,whitelist
center for responsive politics (open secrets),http://www.opensecrets.org/,-1,VERY HIGH,whitelist
center for strategic and international studies,https://www.csis.org/,-4,VERY HIGH,whitelist
center for the national interest,http://cftni.org/,10,HIGH,whitelist
change.org,https://www.change.org/,-21,HIGH,whitelist
charleston gazette-mail,http://www.wvgazettemail.com/,-10,HIGH,whitelist
charlotte observer,http://www.charlotteobserver.com/,-13,HIGH,whitelist
check your fact,http://checkyourfact.com/,9,HIGH,whitelist
chicago reader,http://www.chicagoreader.com/,-22,HIGH,whitelist
chicago sun times,http://chicago.suntimes.com/,-12,HIGH,whitelist
chicago tribune,http://www.chicagotribune.com/,9,HIGH,whitelist
china daily,http://www.chinadaily.com.cn/,-4,HIGH,whitelist
china global television network (cgtn),https://news.cgtn.com,-2,HIGH,whitelist
chinook observer,http://www.chinookobserver.com,-4,HIGH,whitelist
christian science monitor,http://www.csmonitor.com/,-4,HIGH,whitelist
christianity today,http://www.christianitytoday.com/,7,HIGH,whitelist
chronicles of democracy,http://www.chroniclesofdemocracy.com/,-22,HIGH,whitelist
cincinnati enquirer,http://www.cincinnati.com/,10,HIGH,whitelist
circa news,http://circa.com/,7,HIGH,whitelist
citizen critics,https://citizencritics.org,-18,HIGH,whitelist
citizen truth,https://citizentruth.org,-13,HIGH,whitelist
citizens for responsibility and ethics in washington (crew),https://www.citizensforethics.org,-15,HIGH,whitelist
citizens for tax justice,http://ctj.org/,-13,HIGH,whitelist
city and state new york,http://cityandstateny.com/,-3,HIGH,whitelist
city journal,http://www.city-journal.org/,24,HIGH,whitelist
clean technica,https://cleantechnica.com/,-9,VERY HIGH,whitelist
cnbc,http://www.cnbc.com/,-13,HIGH,whitelist
colorado springs gazette,http://gazette.com/,12,HIGH,whitelist
columbia daily herald,http://www.columbiadailyherald.com/,9,HIGH,whitelist
columbia journalism review,http://www.cjr.org/,-11,HIGH,whitelist
columbus dispatch,http://www.dispatch.com/,10,HIGH,whitelist
commentary magazine,https://www.commentarymagazine.com/,24,HIGH,whitelist
committee for a responsible federal budget,http://crfb.org/,1,VERY HIGH,whitelist
committee for economic development,https://www.ced.org/,3,HIGH,whitelist
committee to investigate russia,https://investigaterussia.org,-9,HIGH,whitelist
committee to protect journalists,https://www.cpj.org/,-2,VERY HIGH,whitelist
common cause,http://www.commoncause.org,-12,HIGH,whitelist
common dreams,http://www.commondreams.org/,-24,HIGH,whitelist
commonweal magazine,https://www.commonwealmagazine.org,-10,HIGH,whitelist
commonwealth fund,http://www.commonwealthfund.org/,-11,HIGH,whitelist
communities digital news,http://www.commdiginews.com/,12,HIGH,whitelist
competitive enterprise institute,https://cei.org/,17,HIGH,whitelist
concord monitor,http://www.concordmonitor.com,-4,HIGH,whitelist
conflict news,http://www.conflict-news.com/,3,HIGH,whitelist
congress.gov,https://www.congress.gov/,-1,VERY HIGH,whitelist
congressional budget office (cbo),https://www.cbo.gov/,-1,VERY HIGH,whitelist
conservative institute,https://www.conservativeinstitute.org,22,HIGH,whitelist
consortium news,https://consortiumnews.com/,-5,HIGH,whitelist
constitution daily,https://constitutioncenter.org,1,HIGH,whitelist
constitution project,http://www.constitutionproject.org/,1,HIGH,whitelist
consumer reports,https://www.consumerreports.org,-1,HIGH,whitelist
consumerist,https://consumerist.com/,-3,HIGH,whitelist
cook political report,http://cookpolitical.com/,-2,HIGH,whitelist
corporate presidency,https://corporatepresidency.org,-15,HIGH,whitelist
cosmopolitan,http://www.cosmopolitan.com/,-26,HIGH,whitelist
council for the national interest,http://www.councilforthenationalinterest.org/,-14,HIGH,whitelist
council on foreign relations,http://www.cfr.org/,9,HIGH,whitelist
countable news,http://blog.countable.us/,-4,HIGH,whitelist
countercurrents.org,http://www.countercurrents.org/,-22,HIGH,whitelist
counterpunch,http://www.counterpunch.org/,-22,HIGH,whitelist
courthouse news service,https://www.courthousenews.com,-1,HIGH,whitelist
cp24,https://www.cp24.com/,-3,HIGH,whitelist
credo action,http://credoaction.com/,-14,HIGH,whitelist
crimeola,https://crimeola.com,-1,HIGH,whitelist
crimethinc,https://crimethinc.com/,-22,HIGH,whitelist
crooked media,https://crooked.com/,-23,HIGH,whitelist
crosscut.com,http://crosscut.com/,-13,HIGH,whitelist
csc mediagroup usa,http://www.cscmediagroupus.com/,30,HIGH,whitelist
ctv news,http://www.ctvnews.ca/,-14,HIGH,whitelist
current affairs magazine,https://www.currentaffairs.org/,-21,HIGH,whitelist
curve magazine,http://www.curvemag.com,-18,HIGH,whitelist
daily 49er,http://www.daily49er.com/,-19,HIGH,whitelist
daily beast,http://www.thedailybeast.com/,-23,HIGH,whitelist
daily business review,http://www.dailybusinessreview.com/,2,HIGH,whitelist
daily dot,http://www.dailydot.com/,-19,HIGH,whitelist
daily herald,http://www.dailyherald.com/,8,HIGH,whitelist
daily hive,http://dailyhive.com/,-9,HIGH,whitelist
daily journal (illinois),http://www.daily-journal.com,1,HIGH,whitelist
daily journal (missouri),https://dailyjournalonline.com,-3,HIGH,whitelist
daily press,http://www.dailypress.com/,7,HIGH,whitelist
daily record,http://www.dailyrecord.com/,-4,HIGH,whitelist
daily telegraph,http://www.telegraph.co.uk/,11,HIGH,whitelist
dallas morning news,http://www.dallasnews.com/,12,HIGH,whitelist
dallas voice,http://www.dallasvoice.com/,-23,HIGH,whitelist
darien times,http://www.darientimes.com/,-2,HIGH,whitelist
dawn,https://www.dawn.com/,-12,HIGH,whitelist
dayton daily news,https://www.daytondailynews.com,-5,HIGH,whitelist
dcreport.org,https://www.dcreport.org/,-17,HIGH,whitelist
de volkskrant,https://www.volkskrant.nl/,9,HIGH,whitelist
dead state,http://deadstate.org/,-24,HIGH,whitelist
deadline hollywood,http://deadline.com/,-15,HIGH,whitelist
deadspin,https://deadspin.com/,-22,HIGH,whitelist
deathandtaxes,http://www.deathandtaxesmag.com/,-22,HIGH,whitelist
debate post,http://debatepost.com/,19,HIGH,whitelist
deccan chronicle,https://www.deccanchronicle.com/,14,HIGH,whitelist
defense one,http://www.defenseone.com/,0,HIGH,whitelist
delaware online – the news journal,http://www.delawareonline.com/,-9,HIGH,whitelist
democracy 21,http://www.democracy21.org/,-16,HIGH,whitelist
democracy chronicles,https://democracychronicles.org/author/tawfik/,-24,HIGH,whitelist
democracy now,http://www.democracynow.org/,-22,HIGH,whitelist
democrat and chronicle,http://www.democratandchronicle.com/,-11,HIGH,whitelist
demos,http://www.demos.org,-11,HIGH,whitelist
denver post,http://www.denverpost.com/,-14,HIGH,whitelist
deseret news,http://www.deseretnews.com/,15,HIGH,whitelist
desert sun,http://www.desertsun.com/,6,HIGH,whitelist
desmog,https://www.desmogblog.com/,-18,HIGH,whitelist
detroit free press,http://www.freep.com/,-12,HIGH,whitelist
detroit news,http://www.detroitnews.com/,12,HIGH,whitelist
die hard democrat,http://dieharddemocrat.com/,-26,HIGH,whitelist
die zeit,http://www.zeit.de/english/index,-9,HIGH,whitelist
differencebetween.net,http://www.differencebetween.net,0,VERY HIGH,whitelist
digg,http://digg.com/,-9,HIGH,whitelist
digital journal,http://www.digitaljournal.com,-2,HIGH,whitelist
dissent magazine,https://www.dissentmagazine.org/,-23,HIGH,whitelist
diversityinc,http://www.diversityinc.com,-12,HIGH,whitelist
doctors without borders,http://www.doctorswithoutborders.org,-1,HIGH,whitelist
downsizing the federal government,https://www.downsizinggovernment.org,15,HIGH,whitelist
dpa german press agency,http://www.dpa-international.com/,-3,HIGH,whitelist
duluth news tribune,https://www.duluthnewstribune.com,9,HIGH,whitelist
dutch daily news,http://www.dutchdailynews.com/,-13,HIGH,whitelist
dw news,http://www.dw.com/en/top-stories/s-9097,-14,HIGH,whitelist
eagle tribune,http://www.eagletribune.com/,1,HIGH,whitelist
earth institute,http://earth.columbia.edu/sections/view/9,-2,HIGH,whitelist
earthjustice,https://earthjustice.org,-17,HIGH,whitelist
east bay times,http://www.eastbaytimes.com/,-9,HIGH,whitelist
economic policy institute,http://www.epi.org/,-13,HIGH,whitelist
economicpolicyjournal.com,http://www.economicpolicyjournal.com,24,HIGH,whitelist
economics.help,https://www.economicshelp.org,-13,HIGH,whitelist
edmonton journal,http://edmontonjournal.com/,-10,HIGH,whitelist
edmonton sun,http://www.edmontonsun.com/,15,HIGH,whitelist
egbertowillies,https://egbertowillies.com/,-28,HIGH,whitelist
ej insight (eji),http://www.ejinsight.com/,-5,HIGH,whitelist
el pais,http://elpais.com/elpais/inenglish.html,-13,HIGH,whitelist
el paso times,http://www.elpasotimes.com/,-8,HIGH,whitelist
electoral-vote.com,https://www.electoral-vote.com,-19,HIGH,whitelist
electronic frontier foundation,https://www.eff.org/,-8,HIGH,whitelist
electronic intifada,https://electronicintifada.net/,-25,HIGH,whitelist
elisabeth parker,http://elisabethparker.com/,-26,HIGH,whitelist
elko daily free press,https://elkodaily.com/,1,HIGH,whitelist
emirates 24/7,http://www.emirates247.com/,-11,HIGH,whitelist
empty wheel,https://www.emptywheel.net/,-15,HIGH,whitelist
engadget,https://www.engadget.com/,-12,HIGH,whitelist
erie times-news,http://www.goerie.com,-4,HIGH,whitelist
err news (estonia public broadcasting),http://news.err.ee,1,HIGH,whitelist
esquire magazine,http://www.esquire.com/,-22,HIGH,whitelist
ethics and public policy center (eppc),https://eppc.org/,15,HIGH,whitelist
eu observer,https://euobserver.com/,-11,HIGH,whitelist
eurasia group,http://www.eurasiagroup.net/,-3,HIGH,whitelist
eurasia review,http://www.eurasiareview.com,-4,HIGH,whitelist
euronews,http://www.euronews.com/,-4,HIGH,whitelist
every crs report,https://www.everycrsreport.com/,0,VERY HIGH,whitelist
everyday feminism,http://everydayfeminism.com/,-21,HIGH,whitelist
evonomics,http://evonomics.com/,-23,HIGH,whitelist
exposing the truth,https://www.exposingtruth.com/,-10,HIGH,whitelist
fact / myth,http://factmyth.com/,-9,HIGH,whitelist
factbox.tv,http://factbox.tv/,-15,HIGH,whitelist
factcheck,http://www.factcheck.org/,-1,VERY HIGH,whitelist
factscan,http://factscan.ca/,-1,VERY HIGH,whitelist
factwire news agency,https://www.factwire.org/english,-1,HIGH,whitelist
fair observer,https://www.fairobserver.com,-3,HIGH,whitelist
fairness & accuracy in reporting (fair),http://fair.org/,-14,HIGH,whitelist
fairvote,http://www.fairvote.org/,-9,HIGH,whitelist
faith family america,http://www.faithfamilyamerica.com,13,HIGH,whitelist
far left watch,https://farleftwatch.com,29,HIGH,whitelist
fast company magazine,https://www.fastcompany.com/,-11,HIGH,whitelist
federal news radio,https://federalnewsradio.com,-1,HIGH,whitelist
federal times,http://www.federaltimes.com/,0,HIGH,whitelist
feminist current,http://www.feministcurrent.com,-19,HIGH,whitelist
feminist frequency,https://feministfrequency.com/,-8,HIGH,whitelist
feministing,http://feministing.com/,-25,HIGH,whitelist
fifth estate,https://www.fifthestate.org/,-22,HIGH,whitelist
fight for the future,https://www.fightforthefuture.org,-14,HIGH,whitelist
filming cops,http://filmingcops.com/,-24,HIGH,whitelist
financial express,http://www.financialexpress.com/,2,HIGH,whitelist
financial post,http://www.financialpost.com/,10,HIGH,whitelist
financial times,https://www.ft.com/,1,HIGH,whitelist
first draft news,https://firstdraftnews.org/,-3,HIGH,whitelist
first post,http://www.firstpost.com/,-22,HIGH,whitelist
fitsnews,https://www.fitsnews.com/,13,HIGH,whitelist
